date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:41:00	0/0	---M--	504	error ('GATEWAY_TIMEOUT')	text/html	date:Sat,%2019%20Dec%202020%2017:40:59%20GMT	http://cryptotemplate.webflow.io/robots.txt		(from )
09:41:00	71273/71273	---M-Z	200	added ('OK')	text/html	date:Sat,%2019%20Dec%202020%2017:41:00%20GMT	http://cryptotemplate.webflow.io/	/Users/sashvdave/websites/nexgen/cryptotemplate.webflow.io/index.html	(from )
09:41:01	49188/49188	---M-Z	200	added ('OK')	text/html	date:Sat,%2019%20Dec%202020%2017:41:01%20GMT	http://cryptotemplate.webflow.io/about	/Users/sashvdave/websites/nexgen/cryptotemplate.webflow.io/about.html	(from http://cryptotemplate.webflow.io/)
09:41:02	0/0	---M--	504	error ('GATEWAY_TIMEOUT')	text/html	date:Sat,%2019%20Dec%202020%2017:41:02%20GMT	http://cryptotemplate.webflow.io/pricing	/Users/sashvdave/websites/nexgen/cryptotemplate.webflow.io/pricing	(from http://cryptotemplate.webflow.io/)
09:41:03	0/0	---M--	504	error ('GATEWAY_TIMEOUT')	text/html	date:Sat,%2019%20Dec%202020%2017:41:03%20GMT	http://cryptotemplate.webflow.io/tokens	/Users/sashvdave/websites/nexgen/cryptotemplate.webflow.io/tokens	(from http://cryptotemplate.webflow.io/)
09:41:04	0/0	---M--	504	error ('GATEWAY_TIMEOUT')	text/html	date:Sat,%2019%20Dec%202020%2017:41:04%20GMT	http://cryptotemplate.webflow.io/blog	/Users/sashvdave/websites/nexgen/cryptotemplate.webflow.io/blog	(from http://cryptotemplate.webflow.io/)
09:41:05	0/0	---M--	504	error ('GATEWAY_TIMEOUT')	text/html	date:Sat,%2019%20Dec%202020%2017:41:05%20GMT	https://cryptotemplate.webflow.io/product/expert	/Users/sashvdave/websites/nexgen/cryptotemplate.webflow.io/product/expert.4.delayed	(from http://cryptotemplate.webflow.io/)
09:41:06	42380/42380	---M-Z	200	added ('OK')	text/html	date:Sat,%2019%20Dec%202020%2017:41:06%20GMT	http://cryptotemplate.webflow.io/contact	/Users/sashvdave/websites/nexgen/cryptotemplate.webflow.io/contact.html	(from http://cryptotemplate.webflow.io/)
09:41:07	0/0	---M--	504	error ('GATEWAY_TIMEOUT')	text/html	date:Sat,%2019%20Dec%202020%2017:41:07%20GMT	https://cryptotemplate.webflow.io/blog/what-is-the-best-and-most-secure-crypto-wallet-of-2020	/Users/sashvdave/websites/nexgen/cryptotemplate.webflow.io/blog/what-is-the-best-and-most-secure-crypto-wallet-of-2020	(from http://cryptotemplate.webflow.io/)
09:41:08	35817/35817	---M-Z	200	added ('OK')	text/html	date:Sat,%2019%20Dec%202020%2017:41:08%20GMT	https://cryptotemplate.webflow.io/token/bitcoin	/Users/sashvdave/websites/nexgen/cryptotemplate.webflow.io/token/bitcoin.html	(from http://cryptotemplate.webflow.io/)
09:41:09	46021/46021	---M-Z	200	added ('OK')	text/html	date:Sat,%2019%20Dec%202020%2017:41:09%20GMT	http://cryptotemplate.webflow.io/start-here	/Users/sashvdave/websites/nexgen/cryptotemplate.webflow.io/start-here.html	(from http://cryptotemplate.webflow.io/)
09:41:10	47411/47411	---M-Z	200	added ('OK')	text/html	date:Sat,%2019%20Dec%202020%2017:41:10%20GMT	http://cryptotemplate.webflow.io/styleguide	/Users/sashvdave/websites/nexgen/cryptotemplate.webflow.io/styleguide.html	(from http://cryptotemplate.webflow.io/)
09:41:11	0/0	---M--	504	error ('GATEWAY_TIMEOUT')	text/html	date:Sat,%2019%20Dec%202020%2017:41:11%20GMT	https://cryptotemplate.webflow.io/404	/Users/sashvdave/websites/nexgen/cryptotemplate.webflow.io/404	(from http://cryptotemplate.webflow.io/)
